AÑO,MES,CONGLOME,VIVIENDA,HOGAR,CODPERSO,UBIGEO,DOMINIO,ESTRATO,CODINFOR,P300N,P300I,P300A,P301A,P301B,P301C,P301D,P301A0,P301A1,P301B0,P301B1,P301B3,P302,P302X,P303,P304A,P304B,P304C,P304D,P305,P306,P307,P307D,P308A,P308B,P308C,P308D,P308B1,P308B2,P308B3,P308B4,P308B5,P308C1,P308C2,P310,P310B1,P310C0,P310C1,P310D1,P310D2,P310E0,P310E1,P310E3,P311N$1,P311N$2,P311N$3,P311N$4,P311N$5,P311N$6,P311N$7,P311N$8,P311N$9,P311$1,P311$2,P311$3,P311$4,P311$5,P311$6,P311$7,P311$8,P311$9,P311A1$1,P311A1$2,P311A1$3,P311A1$4,P311A1$5,P311A1$6,P311A1$7,P311A1$8,P311A1$9,P311A2$1,P311A2$2,P311A2$3,P311A2$4,P311A2$5,P311A2$6,P311A2$7,P311A2$8,P311A2$9,P311A3$1,P311A3$2,P311A3$3,P311A3$4,P311A3$5,P311A3$6,P311A3$7,P311A3$8,P311A3$9,P311A4$1,P311A4$2,P311A4$3,P311A4$4,P311A4$5,P311A4$6,P311A4$7,P311A4$8,P311A4$9,P311A5$1,P311A5$2,P311A5$3,P311A5$4,P311A5$5,P311A5$6,P311A5$7,P311A5$8,P311A5$9,P311A6$1,P311A6$2,P311A6$3,P311A6$4,P311A6$5,P311A6$6,P311A6$7,P311A6$8,P311A6$9,P311A7$1,P311A7$2,P311A7$3,P311A7$4,P311A7$5,P311A7$6,P311A7$7,P311A7$8,P311A7$9,P311B$1,P311B$2,P311B$3,P311B$4,P311B$5,P311B$6,P311B$7,P311B$8,P311B$9,P311C$1,P311C$2,P311C$3,P311C$4,P311C$5,P311C$6,P311C$7,P311C$8,P311C$9,P311D$1,P311D$2,P311D$3,P311D$4,P311D$5,P311D$6,P311D$7,P311D$8,P311D$9,P311D2$1,P311D2$2,P311D2$3,P311D2$4,P311D2$5,P311D2$6,P311D2$7,P311D2$8,P311D2$9,P311D3$1,P311D3$2,P311D3$3,P311D3$4,P311D3$5,P311D3$6,P311D3$7,P311D3$8,P311D3$9,P311D4$1,P311D4$2,P311D4$3,P311D4$4,P311D4$5,P311D4$6,P311D4$7,P311D4$8,P311D4$9,P311D5$1,P311D5$2,P311D5$3,P311D5$4,P311D5$5,P311D5$6,P311D5$7,P311D5$8,P311D5$9,P311D6$1,P311D6$2,P311D6$3,P311D6$4,P311D6$5,P311D6$6,P311D6$7,P311D6$8,P311D6$9,P311D7$1,P311D7$2,P311D7$3,P311D7$4,P311D7$5,P311D7$6,P311D7$7,P311D7$8,P311D7$9,P311E$1,P311E$2,P311E$3,P311E$4,P311E$5,P311E$6,P311E$7,P311E$8,P311E$9,P311T1,P311T22,P311T23,P311T24,P311T25,P311T26,P311T27,P311T2,P3121,P3121A1,P3121A2,P3121A3,P3121A4,P3121A5,P3121A6,P3121B,P3121C,P3121C2,P3121C3,P3121C4,P3121C5,P3121C6,P3121D,P3122,P3122A1,P3122A2,P3122A3,P3122A4,P3122A5,P3122A6,P3122B,P3122C,P3122C2,P3122C3,P3122C4,P3122C5,P3122C6,P3122D,P312T1,P312T22,P312T23,P312T24,P312T25,P312T26,P312T2,P313,P314A,P314B$1,P314B$2,P314B$3,P314B$4,P314B$5,P314B$6,P314B$7,P314B1_1,P314B1_2,P314B1_6,P314B1_7,P314B1_8,P314B1_9,P314D,P3151,P3152,P3153,P3154,P3155,P3156,P315A,P315B,P315B2,P315B3,P315B4,P315B5,P315B6,P316$1,P316$2,P316$3,P316$4,P316$5,P316$6,P316$7,P316$8,P316$9,P316$10,P316$11,P316$12,P316A1,P316A2,P316A3,P316A4,P316A5,P316A6,P316B,P316C1,P316C2,P316C3,P316C4,P316C5,P316C6,P316C7,P316C8,P316C9,P316C10,T313A,P203,P204,P205,P206,P207,P208A,P209,TICUEST01A,D311B$1,D311D2$1,D311D3$1,D311D4$1,D311D5$1,D311D6$1,D311D7$1,D311D$1,D311B$2,D311D2$2,D311D3$2,D311D4$2,D311D5$2,D311D6$2,D311D7$2,D311D$2,D311B$3,D311D2$3,D311D3$3,D311D4$3,D311D5$3,D311D6$3,D311D7$3,D311D$3,D311B$4,D311D2$4,D311D3$4,D311D4$4,D311D5$4,D311D6$4,D311D7$4,D311D$4,D311B$5,D311D2$5,D311D3$5,D311D4$5,D311D5$5,D311D6$5,D311D7$5,D311D$5,D311B$6,D311D2$6,D311D3$6,D311D4$6,D311D5$6,D311D6$6,D311D7$6,D311D$6,D311B$7,D311D2$7,D311D3$7,D311D4$7,D311D5$7,D311D6$7,D311D7$7,D311D$7,D3121B,D3121C2,D3121C3,D3121C4,D3121C5,D3121C6,D3121C,D3122B,D3122C2,D3122C3,D3122C4,D3122C5,D3122C6,D3122C,D315A,D315B2,D315B3,D315B4,D315B5,D315B6,D315B,I311B$1,I311B$2,I311B$4,I311B$6,I311B$3,I311B$5,I311B$7,I311D2$1,I311D3$1,I311D4$1,I311D5$1,I311D6$1,I311D7$1,I311D2$2,I311D3$2,I311D4$2,I311D5$2,I311D6$2,I311D7$2,I311D2$4,I311D3$4,I311D4$4,I311D5$4,I311D6$4,I311D7$4,I311D2$6,I311D3$6,I311D4$6,I311D5$6,I311D6$6,I311D7$6,I311D2$3,I311D3$3,I311D4$3,I311D5$3,I311D6$3,I311D7$3,I311D2$5,I311D3$5,I311D4$5,I311D5$5,I311D6$5,I311D7$5,I311D2$7,I311D3$7,I311D4$7,I311D5$7,I311D6$7,I311D7$7,I3121B,I3122B,I3121C2,I3121C3,I3121C4,I3121C5,I3121C6,I3122C2,I3122C3,I3122C4,I3122C5,I3122C6,I315A,I315B2,I315B3,I315B4,I315B5,I315B6,I311D$1,I311D$2,I311D$3,I311D$4,I311D$5,I311D$6,I311D$7,I3121C,I3122C,I315B
2024,3,18277,181,11,1,150112,8,1,1,1,1,4,9,1, ,1,0,531016,0,160000031,14, , ,2, , , , , ,2, , , , , , , , , , , , , ,2,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,0,0,0,0,0,0,7,0,0,0,0,0,9,1, , , , , , , , , , , , , ,1,1,2,2,2,2,2,2,2,2,2,2,1,0,0,0,0,0,2, , , , , , , , , , , ,1,1,2, ,1,50,1,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2024,3,18277,181,11,2,150112,8,1,1,2,1,4,9,1, ,1,0,521046,1, , , , ,2, , , , , ,2, , , , , , , , , , , , , ,2,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,0,0,0,0,0,0,7,0,0,0,0,0,9,1, , , , , , , , , , , , , ,1,1,2,2,2,2,2,2,2,2,2,2,1,0,0,0,0,0,2, , , , , , , , , , , ,2,1,2, ,2,46,1,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2024,3,18278,22,11,1,150103,8,1,1,1,1,4,7,2, ,2,0,331055,0,241123405,15, , ,1,4,2, ,2,1,1,2, ,4,3, ,2, , , , , , , ,2,2, , , , , , , ,1,2,3,4,5,6,7,8,9,2,2,2,2,1,2,2,2,2, , , , ,1, , , , , , , , ,0, , , , , , , , ,0, , , , , , , , ,0, , , , , , , , ,0, , , , , , , , ,0, , , , , , , , ,0, , , , , , , , ,500, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2, , , , ,500, , , , , , , ,2, , , , , , , , , , , , , , ,2, , , , , , , , , , , , , , , , , , , , , , ,1,0,0,0,0,0,0,7,0,0,0,0,0,9,1, , , , , , , , , , , , , ,1,1,1,1,1,2,1,2,2,2,2,1,1,0,0,0,0,0,2, , , , , , , , , , , ,1,1,2, ,2,27,5,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,25, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,25, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2024,3,18278,22,11,2,150103,8,1,2,2,2,4,4,0,6,2, , , , , , , ,1,2,0,6,2,1,1,1, ,3,1, ,1,3,3,3,3,3,1,150103,2, , , , , , , , ,1,2,3,4,5,6,7,8,9,1,1,2,1,2,1,1,2,2,1,1, ,1, ,1,1, , ,0,0, ,0, ,0,0, , ,0,0, ,0, ,0,0, , ,0,0, ,0, ,0,0, , ,0,0, ,1, ,0,1, , ,0,0, ,0, ,0,0, , ,0,0, ,0, ,0,0, , ,130,60, ,880, ,45,1230, , ,8,8, ,8, , ,3, , , , , ,200, , ,65, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,200, , ,65, , , , , , , , , , , , , , , , , , , , ,1,1, ,2, ,1,10, , ,2345, , , ,265, , ,265,2, , , , , , , , , , , , , , ,2, , , , , , , , , , , , , , , , , , , , , , ,1,0,0,0,0,0,0,7,0,0,0,0,8,0,1, , , , , , , , , , , , , ,1,1,2,2,2,2,1,2,2,2,2,2,1,0,0,0,0,0, , , , , , , , , , , , ,3,1,2, ,2,12,6,2,8, , , , , , , ,4, , , , , , , , , , , , , , , ,44, , , ,10, , ,10, , , , , , , , ,2, , , , , , , ,62, , , ,3, , ,3, , , , , , , , , , , , , , , , , , , , , ,8,4,44,2, , ,62, , , , , , , , , , , , , , , ,10, , , , , , , , , , , , , , , , , , , , , , , ,3, , , , , , , , , , , , , , , , , , , , , , , ,10, , ,3, , , 
2024,3,18278,22,11,3,150103,8,1,1,3,1,4,1, , , , , , , , ,2, ,2, , , , , ,1,1, ,1,1, ,1,2,3,3,3,3,1,150103,2, , , , , , , , ,1,2,3,4,5,6,7,8,9,2,2,2,1,2,1,2,2,2, , , ,0, ,1, , , , , , ,0, ,0, , , , , , ,0, ,0, , , , , , ,0, ,0, , , , , , ,1, ,0, , , , , , ,0, ,0, , , , , , ,0, ,0, , , , , , , , ,100, , , , , , , , , , , , , , , ,220, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,220, , , , , , , , , , , , , , , , , , , , , , , , , , ,1, ,1, , , ,100, , , ,220, , ,220,2, , , , , , , , , , , , , , ,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,3,1,2, ,2,3, ,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,11, , ,11, , , , , , , , ,5, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,5, , , , , , , , , , , , , , , , , , ,11, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,11, , , , , , 
2024,3,18278,79,11,1,150103,8,1,1,1,1,4,4,5, ,1, , , , , , , ,2, , , , , ,2, ,2, , , , , , , , , , , ,2,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,0,0,0,0,0,0,7,0,0,0,0,0,9,1, , , , , , , , , , , , , ,1,1,2,2,2,2,1,2,2,2,2,2,1,0,0,0,0,0,2, , , , , , , , , , , ,1,1,2, ,1,76,3,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2024,3,18278,103,11,1,150103,8,1,1,1,1,4,10,5, ,2,0,311016,0,260000019,15, , ,2, , , , , ,2, , , , , , , , , , , , , ,2,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,0,2,0,0,0,0,7,0,0,0,0,0,9,1, , , , , , , , , , , , , ,1,1,2,1,2,2,1,2,2,2,2,2,1,0,0,0,0,0,1,1,1,1,1,2,2,2,2,2,2, ,1,1,2, ,2,51,5,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2024,3,18278,103,11,2,150103,8,1,1,2,1,4,5,1, ,1, , , , , , , ,1,3,1, ,1,1,1,1, ,3,2, ,1,3,3,3,5,3,1,150103,2, , , , , , , , ,1,2,3,4,5,6,7,8,9,1,2,2,1,2,2,1,2,2,1, , ,1, , ,1, , ,0, , ,0, , ,0, , ,0, , ,0, , ,0, , ,0, , ,0, , ,0, , ,1, , ,1, , ,0, , ,0, , ,1, , ,0, , ,0, , ,0, , ,0, , ,60, , ,70, , ,183, , ,5, , ,2, , ,3, , ,195, , ,130, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,195, , ,80, , , , , , , , ,50, , , , , , , , , , , , , , ,2, , ,3, , ,10, , ,313, , , ,275,50, ,325,2, , , , , , , , , , , , , , ,2, , , , , , , , , , , , , , , , , , , , , , ,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1, , , , , , , , , , , , , ,1,1,2,2,1,2,1,2,2,2,2,2,0,2,0,0,0,0, , , , , , , , , , , , ,3,1,2, ,1,13,6,2,4, , , ,12, , ,12, , , , , , , , , , , , , , , , ,4, , , ,4,3, ,7, , , , , , , , , , , , , , , , ,9, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,4, ,4, , , ,9, , , ,12, , , , , , , , , , , ,4,3, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,12, , ,7, , , , , , 
2024,3,18290,7,11,1,150132,8,1,1,1,1,4,3,4, ,1, , , , , ,1,1,2, , , , , ,2, ,1, , , , , , , , , , , ,2,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,0,0,0,0,0,2, , , , , , , , , , , ,1,1,2, ,1,71,1,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2024,3,18290,7,11,2,150132,8,1,1,2,1,4,6,5, ,1,1, , , , , , ,2, , , , , ,2, ,2, , , , , , , , , , , ,2,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,0,0,0,0,0,0,7,0,0,0,0,8,0,1, , , , , , , , , , , , , ,2,1,2,2,2,2,1,2,2,2,2,2,1,0,0,0,0,0,2, , , , , , , , , , , ,2,1,2, ,2,37,1,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2024,3,18290,7,11,3,150132,8,1,3,3,3,4,9,1, ,2,0,331016,0,260000065,15, , ,2, , , , , ,2, , , , , , , , , , , , , ,2,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,1,0,0,0,0,0,0,7,0,0,0,0,8,0,1, , , , , , , , , , , , , ,1,1,1,2,1,2,1,2,2,2,2,1,1,0,0,0,0,0,2, , , , , , , , , , ,1,3,1,2, ,1,21,6,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2024,3,18290,7,11,4,150132,8,1,4,4,4,4,6,5, ,2,1, , , , , , ,2, , , , , ,2, ,2, , , , , , , , , , , ,2,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,3,1,0,0,0,0,0,0,7,0,0,0,0,8,0,1, , , , , , , , , , , , , ,1,1,2,2,1,2,1,2,2,2,2,2,1,0,0,0,0,0,2, , , , , , , , , , ,3,3,1,2, ,1,17,6,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2024,3,18290,27,11,1,150132,8,1,1,1,1,1,8,3, ,2,0,714035,0,999999999,15, , ,2, , , , , ,2, , , , , , , , , , , , , ,2,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,0,0,0,0,0,0,7,0,0,0,0,8,0,1, , , , , , , , , , , , , ,1,1,2,2,2,2,2,2,2,2,2,2,1,0,0,0,0,0,2, , , , , , , , , , , ,1,1,2, ,2,56,3,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2024,3,18290,27,11,2,150132,8,1,1,2,1,4,9,3, ,1,0,342056,0,160000021,15, , ,1,5,3, ,1,1,1,1, ,5,4, ,1,5,5,5, , ,0,150101,2,2, , , , , , , ,1,2,3,4,5,6,7,8,9,2,2,2,2,1,2,2,2,2, , , , ,0, , , , , , , , ,0, , , , , , , , ,0, , , , , , , , ,0, , , , , , , , ,1, , , , , , , , ,0, , , , , , , , ,0, , , , , , , , , , , , , , , , , , , , , , , , , , ,170, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,170, , , , , , , , , , , , , , , , , , , , , , , , , , ,1, , , , , , , , ,170, , ,170,2, , , , , , , , , , , , , , ,2, , , , , , , , , , , , , , , , , , , , , , ,1,0,0,0,0,0,0,7,0,0,0,0,8,0,1, , , , , , , , , , , , , ,1,1,2,2,2,2,2,2,2,2,2,2,1,0,0,0,0,0,2, , , , , , , , , , , ,3,1,2, ,2,29,6,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,9, , ,9, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,9, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,9, , , , , 
2024,3,18290,27,11,3,150132,8,1,1,3,1,4,3,0,4,1, , , , , ,1, ,1,2,0,4,1,1,1,1, ,2,0,5,1,3,3,3,3,3,1,150132,2, , , , , , , , ,1,2,3,4,5,6,7,8,9,2,2,2,1,2,1,1,2,2, , , ,0, ,0,1, , , , , ,0, ,0,0, , , , , ,0, ,0,0, , , , , ,0, ,0,0, , , , , ,1, ,1,1, , , , , ,0, ,0,0, , , , , ,0, ,0,0, , , , , , , , ,18, , , , , , , , ,3, , , , , ,350, ,25,35, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,350, ,25,35, , , , , , , , , , , , , , , , , , , , , , , ,1, ,1,20, , ,18, , , ,410, , ,410,2, , , , , , , , , , , , , , ,2, , , , , , , , , , , , , , , , , , , , , , ,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0,0,0,0,5,0, , , , , , , , , , , , ,5,1,2, ,1,11, ,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,18, , ,18, , , , , , , , , , , , ,1, , ,1,1, , , ,2, , ,2, , , , , , , , , , , , , , , , , , , , , , , , , , , ,1, , , , , , , , , , , , , , , ,18, , , , , ,1, , , , , , , , , , , , , , , , , ,2, , , , , , , , , , , , , , , , , , , , , , , ,18, ,1,2, , , 
2024,3,18290,68,11,1,150132,8,1,1,1,1,1,7,2, ,1,0,441085,1, , , , ,2, , , , , ,2, , , , , , , , , , , , , ,2,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,1,0,0,0,0,0,0,0,0,0,0,0,9,1, , , , , , , , , , , , , ,2,1,1,2,1,2,2,2,2,2,2,2,1,0,0,0,0,0,1,1,1,1,1,1,2,1,1,2,2, ,1,1,2, ,1,63,2,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2024,3,18290,68,11,2,150132,8,1,2,2,2,4,8,3, ,2,0,714035,0,240466425,15, , ,2, , , , , ,2, , , , , , , , , , , , , ,2,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,0,2,0,0,0,0,7,1,0,0,0,0,9,1, , , , , , , , , , , , , ,1,1,2,2,1,2,1,2,2,2,2,2,1,0,0,0,0,0,1,1,1,1,1,2,2,1,1,2,2, ,2,1,2, ,2,54,2,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2024,3,18290,68,11,3,150132,8,1,2,3,2,4,10,4, ,2,0,511026,0,260000055,13, , ,1,5,4, ,2,1,1,1, ,5,5, ,2,3,3,3, , ,1,150132,1,2, , , , , , , ,1,2,3,4,5,6,7,8,9,2,2,2,2,1,2,1,2,2, , , , ,1, ,0, , , , , , ,0, ,0, , , , , , ,0, ,1, , , , , , ,0, ,0, , , , , , ,0, ,0, , , , , , ,0, ,0, , , , , , ,0, ,0, , , , , , ,230, , , , , , , , , , , , , , , , , , , ,10, , , , , , , , , , , , , , , , , ,10, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1, ,12, , ,230, ,10, , , , ,10,2, , , , , , , , , , , , , , ,2, , , , , , , , , , , , , , , , , , , , , , ,1,1,2,0,0,0,0,7,0,2,0,0,0,9,1, , , , , , , , , , , , , ,2,1,1,1,1,2,1,2,2,2,2,1,1,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,2, ,3,1,2, ,1,32,6,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,12, , , , , , , , , , , , , , , , , ,1, , , , ,1, , , , , , , , , , , , , , , , , , , , , , , , , , ,12, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1, , , 
